Condition,Are you a host on Airbnb?,How often do you use Airbnb?,Qualitative Feedback,Pre-Feedback,Post-Feedback,Pre-Feedback Ability,Pre-Feedback Benevolence,Pre-Feedback Integrity,Pre-Feedback Overall Trustworthiness (Holistic),Post-Feedback Ability,Post-Feedback Benevolence,Post-Feedback Integrity,Post-Feedback Overall Quality (Holistic)
2,No,1,"It didn't specify what about my writing style should be improved, or what detail was lacking.","Hi, my name is John and I would love to have you stay with me.   I'm in my 20s and live with my wife. We have a dog who may be a little shy when you show up, but warms up quickly. We enjoy eating at the great restaurants this town has to offer and going to concerts and baseball games. We're big travelers ourselves and particularly enjoyed visiting Amsterdam and Berlin. If you decide to stay with us, we look forward to getting know you and your experiences. If you'd rather be left alone, we can do that too! And we won't be offended.  Thanks for reading, and best of luck in your travel plans.","Hi, my name is John and I would love to have you stay with me.   I'm in my 20s and live with my wife. We have a dog who may be a little shy when you show up, but warms up quickly. We enjoy eating at the great restaurants this town has to offer and going to concerts and baseball games. We're big travelers ourselves and particularly enjoyed visiting Amsterdam and Berlin. If you decide to stay with us, we look forward to getting know you and your experiences. If you'd rather be left alone, we can do that too! And we won't be offended.  Thanks for reading, and best of luck in your travel plans.",6,6,5.5,5.5,6,5.5,5.5,5.5
1,No,5,I prefer my own way of conveying my bio/message.,"Hey there! Excited about visiting the city? So do I, potentially have a chance to meet and host you! I love travelling, and talk to people from all around the world. It is a very exciting thing for me to do. I appreciate conversations with everyone I come across, each and everyone of you out there are unique in your own way.  If you are feeling confused with how to maneuvar around the city, I got your back! I know each and every corner of my city, and can surely help you if you do need it. Well actually, I could most probably be your guide!","Hey there! Excited about visiting the city? So do I, potentially have a chance to meet and host you! I love travelling, and talk to people from all around the world. It is a very exciting thing for me to do. I appreciate conversations with everyone I come across, each and everyone of you out there are unique in your own way.  If you are feeling confused with how to maneuvar around the city, I got your back! I know each and every corner of my city, and can surely help you if you do need it. Well actually, I could most probably be your guide!",4,6.5,5.5,5,4,7,5,5
2,No,2,I found it a bit difficult to understand exactly what they wanted me to change ,"my life motto is live life to the fullest. So to me that means get out and live. Travel as you please and get out and see the world. I love watching movies, binge watching netflix, and playing with my dogs. I also loving going to musicals and experiencing the arts.","Live life to the fullest. So to me that means get out and live. Travel as you please and get out and see the world. I love watching movies, binge watching netflix, and playing with my dogs. I also loving going to musicals and experiencing the arts.",3,4,4.5,3,3,4,4.5,3
1,Yes,5,It pointed me in the right direction.,"I'm an affable and friendly person. I like sports, travelling, big star wars fan, love pizza, and really like good 80's rock. I really enjoy travelling by plane at least couple of hours flight, this way I know I'm actually going somewhere. Also love meeting new people that provide Airbnb hosting. Go forward without fogetting what is behind you, is my motto","I'm an affable and friendly person. I like sports, travelling, big star wars fan, love pizza, and really like good 80's rock. I really enjoy travelling by plane at least couple of hours flight, this way I know I'm actually going somewhere. Also love meeting new people that provide Airbnb hosting. Go forward without fogetting what is behind you, is my motto",3.5,4.5,4.5,3.5,3.5,4.5,4.5,3.5
3,No,3,I think the feedback will enable better writing and have the option to include more exclusive details.,"Greetings, I am a mom to two wonderful poodles named John and Lee. I am also retired Military. I served 20 years and got to travel to some pretty cool places. I look forward to providing a wonderful vaction rental for you all. ","Greetings, I am a mom to two wonderful poodles named John and Lee. I am also retired Military. I served 20 years and I was able to travel to some awesome locations. Our community is vaction friendly and features wonderful luxirious ammenties. There is a pool and tennis court available. We are located in walking distance to five-star cuisine resturants and Spa's. We look forward to providing a wonderful vaction rental that includes 3 comfortable bedrooms, and an internet cafe to name a few. ",6.5,5,5.5,5.5,6.5,6.5,6.5,6.5
1,No,1,"The requests were the exact opposite of good writing. They were also somewhat contradictory, in asking for both more personal yet more formal. ","Welcome to our home! We hope you enjoy your stay with us!      We have been Portland residents for almost 20 years. If you are interested in a certain Portlandia experience or have questions about our beautiful city, we can point you in the right direction!   We are also familiar with all of the fabulous surrounding day-trip destinations, from the Gorge, to the Coast, to the Mountains, and even Seattle and Vancouver, BC.    We are a happy family with 2 children. We can gladly provide games and children's toys for your stay, if you so desire.    While we are pet-free, we are open to your well-behaved furry friend staying with us. The kids might want to stop by and say hi to your puppy or kitty, however!","Welcome to our home! We hope you enjoy your stay with us!      We have been Portland residents for almost 20 years. If you are interested in a certain Portlandia experience or have questions about our beautiful city, we can point you in the right direction!   We are also familiar with all of the fabulous surrounding day-trip destinations, from the Gorge, to the Coast, to the Mountains, and even Seattle and Vancouver, BC.    We are a happy family with 2 children. We can gladly provide games and children's toys for your stay, if you so desire.    While we are pet-free, we are open to your well-behaved furry friend staying with us. The kids might want to stop by and say hi to your puppy or kitty, however!    Enjoy your stay!",4.333,5,5.333333,5,4.333,5.333333,5.333333,5
2,No,4,I did not get any segment level feedback.,"I am an adventorus individual having traveled to over 15 countries and lived in 4. I like to really get a good authentic sense of the culture I am visitng in and go after local haunts and street food over polished hotel eatiries. In my spare time I like to play rugby, go to Broadway shows, and watch movies.","I am an adventorus individual having traveled to over 15 countries and lived in 4. I like to really get a good authentic sense of the culture I am visitng in and go after local haunts and street food over polished hotel eatiries. In my spare time I like to play rugby, go to Broadway shows, and watch movies.",3.5,4.5,4,4,3.5,4.5,4,4
4,No,1,I don't feel like there was anyting specific about the feedback.,"Built in the early 60's, this Strauss built home has it's own character and style.  Boasting four bedrooms and two full bathrooms, you will be able to relax in the comfort of spacious rooms.  The kitchen and eating area can seat 10 comfortably while there is also a large 14X24' deck off the main floor.  There is a large living space along with the outdoor space and a gas grill to use.  Come and enjoy a home away from home after enjoying the city and all that it offers.","Built in the early 60's, this Strauss built home has it's own character and style.  Boasting four bedrooms and two full bathrooms, you will be able to relax in the comfort of spacious rooms.  The kitchen and eating area can seat 10 comfortably while there is also a large 14X24' deck off the main floor.  There is a large living space along with the outdoor space and a gas grill to use.  Come and enjoy a home away from home after enjoying the city and all that it offers.",5,4.5,5.5,5,6,5,5,5
1,No,1,I received only positive feedback telling me that what  I wrote was up to par and good information. Since I got nothing negative nor needed to change anything the feedback was neither helpful nor unhelpful ,"Hi there people. I'm a 37 year old network admin with a finished basement complete with bedroom and bathroom in a nice house in a quiet neighborhood in St. Louis, MO I have a wife and 2 kids who are cute and charming and the area is spacious and tastefully decorated. If there are sights you want to see while here (The Bascillica , The Arch, etc.) I can show yow how to find them or take you myself. If you're looking to have some fun while in town I can recommend some very good restaurants, bars, and music venues to unwind and have a good time.","Hi there people. I'm a 37 year old network admin with a finished basement complete with bedroom and bathroom in a nice house in a quiet neighborhood in St. Louis, MO I have a wife and 2 kids who are cute and charming and the area is spacious and tastefully decorated. If there are sights you want to see while here (The Bascillica , The Arch, etc.) I can show yow how to find them or take you myself. If you're looking to have some fun while in town I can recommend some very good restaurants, bars, and music venues to unwind and have a good time.",7,7,7,7,7,7,7,7
4,No,2,"I tried to write my bio with a little voice, which had some simple sentences at the beginning. The feedback recognized the simplicity, but told me to add more detail even though the detail was mentioned in subsequent sentences. I understand picking out voice in writing is difficult for a computer, but it did affect my feedback because those were the only sentences it noticed.","I am a normal everyday person, and thats why you will love staying at my place. I enjoy TV, video games, exercise, and the outdoors. I have a decent social life. I work nine to five. I am about as normal as one can be. This essentially means you will have the most normal stay at my place. I like to keep my place clean and tidy for visitors, namely you. I love to talk to my guests, but I also recognize if you would like your space. People stay at hotels for a specific \""""feeling.\"""" Others use airbnb to have a different, more everyday experience. I am the perfect host to help you feel the most at home and normal on your trip, allowing you to not miss a beat on your everyday routine. I can't wait to meet you!","I am a normal everyday person, and thats why you will love staying at my place. I enjoy TV, video games, exercise, and the outdoors. I have a decent social life. I work nine to five at a normal day job. I am about as normal as one can be. This essentially means you will have the most normal stay at my place. I like to keep my place clean and tidy for visitors, namely you. I love to talk to my guests, but I also recognize if you would like your space. People stay at hotels for a specific \""""feeling.\"""" Others use airbnb to have a different, more everyday experience. I am the perfect host to help you feel the most at home and normal on your trip, allowing you to not miss a beat on your everyday routine. I can't wait to meet you!",6,6,5,5,6,6,7,6
