Condition,"Before today, have you ever written an online product review?",What laptop model/type did you write your review about? (Please be as specific as possible),How often do you read user reviews when shopping online?,Qualitative,Pre-Feedback,Post-Feedback,Pre-Feedback Review Informativeness,Pre-Feedback Review Subjectivity,Pre-Feedback Review Writing Clarity,Pre-Feedback Overall Quality (Holistic),Post-Feedback Review Informativeness,Post-Feedback Review Subjectivity,Post-Feedback Review Writing Clarity,Post-Feedback Review Overall Quality (Holistic)
3,Yes,HP Elitebook 8460p,6,I think the feedback was simple and straight to the point. I would have liked more detail though.,"This is my review on the HP Elitebook 8460p. This laptop I purchased was one that I had been looking for. It has a number of quality features and also some not so quality ones that are anywhere from minor to moderate. Let's start with the shell and physical features.   The HP Elitebook 8460p is in silver tone and has a very sleek design. The size of the screen is 14.1 inches and the thickness overall is about 3/4 of an inch when the screen is shut and laptop is laying flat. I find it to be relatively light to carry around. It weighs about 7-10 lbs. It has a CD drive and 3 USB ports. It also has an ethernet port, SD card slot, and display port. The charger input is on the left side towards the back. Solid keyboard with black keys and a touchpad with an emergency mouse too. Very sporty laptop. This is definitely good for business and traveling. Now onto the internal and programming features.    This laptop came with Windows 7 Professional when I bought it. It turned on pretty quickly and in a matter of 30 seconds I was going through the processes of installing Windows. After everything was installed and a few months of usage, it's become my favorite PC to date. It has a 2.1 Ghz processor, 8 GBs of memory, and runs smoothly. After you get all the updates and some software you enjoy, it is really one of the easier laptops to use. The cons of this laptop are only that it's size and lack of side number keys is unavailable. It runs quietly and doesn't overheat. The battery life is about 2-3 hours depending on what you're doing. Very happy with this and hope to keep using it for the next 5 years until a new laptop is probably needed. I give it 4 out of 5 stars.","This is my review on the HP Elitebook 8460p. This laptop I purchased was one that I had been looking for. It has a number of quality features and also some not so quality ones that are anywhere from minor to moderate. Let's start with the shell and physical features.   The HP Elitebook 8460p is in silver tone and has a very sleek design. The size of the screen is 14.1 inches and the thickness overall is about 3/4 of an inch when the screen is shut and laptop is laying flat. I find it to be relatively light to carry around. It weighs about 7-10 lbs. It has a CD drive and 3 USB ports. It also has an ethernet port, SD card slot, and display port. The charger input is on the left side towards the back. Solid keyboard with black keys and a touchpad with an emergency mouse too. Very sporty laptop. This is definitely good for business and traveling. Now onto the internal and programming features.    This laptop came with Windows 7 Professional when I bought it. It turned on pretty quickly and in a matter of 30 seconds I was going through the processes of installing Windows. After everything was installed and a few months of usage, it's become my favorite PC to date. It has a 2.1 Ghz processor, 8 GBs of memory, and runs smoothly. After you get all the updates and some software you enjoy, it is really one of the easier laptops to use. The cons of this laptop are only that it's size and lack of side number keys is unavailable. It runs quietly and doesn't overheat. The battery life is about 2-3 hours depending on what you're doing. Very happy with this and hope to keep using it for the next 5 years until a new laptop is probably needed. I give it 4 out of 5 stars.",6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
1,Yes,HP ENVY,6,It helped me take a second look at what I wrote and make my feedback better.,"The laptop I own is a HP Envy. It has beats audio which is really nice because I can adjust the audio settings on my headphones, earbuds, bluetooth speaker and laptop really nicely. It also has a touch screen which can be useful in a lot of situations nowdays. I like the fact that it's running Windows 10 rather than android ro something else. It has a backlit keyboard which is amazing at night. The track pad on it is huge and also has extra touch gestures for quick keys. The keyboard layout couldn't be better. The speakers on this computer are pretty nice but they are probably the least impressive aspect of this computer. The computer has a terrabyte of hard drive space so youll pretty much never run out and it has a i7 processor so it's really fast. All in all I'd say this laptop is top of the line.","The laptop I own is a HP Envy. It has beats audio which is really nice because I can adjust the audio settings on my headphones, earbuds, bluetooth speaker and laptop really nicely. It also has a touch screen which can be useful in a lot of situations nowdays. I like the fact that it's running Windows 10 rather than android ro something else. It has a backlit keyboard which is amazing at night. The track pad on it is huge and also has extra touch gestures for quick keys. The keyboard layout couldn't be better. The speakers on this computer are pretty nice but they are probably the least impressive aspect of this computer. The computer has a terrabyte of hard drive space so youll pretty much never run out and it has a i7 processor so it's really fast. All in all I'd say this laptop is top of the line.",4,2,4.5,3.5,4,2,4.5,3.5
1,Yes,hp pavillion,6,"Could only guess what to change, not sure of what needed to change.","My latest laptop is an 19 inch intel core3 laptop, with 512 mbs of RAM and a 500Gb hard drive. It has served its purpose well for a couple of years but after 2 years of having it im looking to upgrade to a new laptop. It also came with windows xp and microsoft home office included in the package. It has not given much problems, however the wifi could be better. It has given me some problems in the past. I would like it to have more of a reach.","My latest laptop has an 19 inch screen with an intel core3 processor with 512 mbs of RAM and a 500Gb hard drive. It has served its purpose well for a couple of years but now im looking to upgrade to a new laptop. It also came with windows xp and microsoft home office included in the package. It has not given much problems, however the wifi could be better. It has given me some problems in the past and I would like it to have more of a reach. Overall I give it an 8 out 10.",2.5,4.5,3,3,2.5,5,3,3
1,No,"Toshiba C55D-A5381 15"" Laptop",6,It helped me to know how to improve my writing in the review.,"I purchase a Toshiba laptop this past October. I must say this is the best laptop I have ever owned. This laptop has all the things I need and performs great. I love the 15.6"" screen which is clear and easy to view. My laptop came with Windows 8 which I wasn't sure if I liked at first but once I got used to it I love it. It is equipped with 4 GB ram, a dual core processor, and a 500 GB hard drive. It runs very fast and the hard drive storage is sufficient. The HD webcam with microphone makes it nice as I can video chat with my children who live far from me. The only thing I don't like is the fact that the volume is not very good but I added external powered speakers and now I am very satisfied. I would highly recommend this laptop to anyone who is planning on buying one in the near future. Its great!","I purchase a Toshiba C55D-A5381 15"" laptop this past October. This is the best laptop I have ever owned and performs great. The 15.6"" screen is large enough to easily view. It is equipped with Windows 8, with 4 GB ram, a dual core processor, and a 500 GB hard drive which is quite sufficient. The HD webcam with microphone makes it nice as I can video chat with my children who live far from me. I would highly recommend this laptop to anyone who is planning on buying one in the near future. With a price under $400 it is the best bang for the buck! Its great!",4.5,5,5,4.5,4.5,3,5,4
4,Yes,some knee-high socks,7,"I guess I wrote a lot specifically about negative issues, but I hadn't neglected to mention that the laptop for the most part ran fine. If you were looking for more information on specific segments, it was very helpful to let me know which ones I hadn't included.","This is the HP Envy with an Intel i7-4700MQ CPU @ 2.40 GHz with 16.0 RAM. It runs decently, but for an i7 I might expect more when I'm playing games. It comes with an NVIDIA GeForce GT 740M, which is not all that great in my opinion. When I try to run taxing games, it doesn't help. It's also confusing that the laptop's own Intel integrated graphics becomes the default over the graphics card randomly. However, for regular activity, the laptop works fine for the most part.  Here are some issues that I've run into with this laptop. The first and most important is sound. The sound for certain programs is kind of strange and I haven't found a way to fix the problem. When I use Skype and plug headphones or earphones into the laptop audio jack, there is a loud static sound over a call. Always. The sound on the laptop with plugged in audio is also REALLY loud. The maximum volume I can stand is 3 (out of 100). Much louder than the speaker is (if you hadn't plugged in audio). However, once I connected a monitor to the laptop (the monitor has an audio jack of its own) and plugged my headphones into the monitor, the sound works fine. The Skype problem disappears, and the sound levels are normal. This isn't too much of an issue for me, since I don't really move my laptop too much and it's usually connected to the monitor, but it is rather annoyed when I do have to take it somewhere.  The second issue is probably more of an issue with Windows than the laptop, but when updates are downloading the entire laptop slows down to a crawl. Not just internet-related activity (as you might expect when you're downloading a large update), but all functions like opening Microsoft Word, or switching windows, or anything like that. It's actually really annoying and makes my computer a slow brick when it's time for updates.  The last issue I had when purchasing this laptop is that I think there was a part inside that was loose. If I shook the laptop or moved it around a bit, the laptop would LAG for about 4 minutes. By lag, I mean 1 frame per second of all functions- moving the mouse, typing, sound lag, everything. So I think there's something wrong with the construction of the laptop. If I don't move it, nothing happens. I have since taken apart the laptop to clean the fan and put it back together, and the issue doesn't really happen anymore. I may have fixed the part inadvertently.  So these are the issues I've had with this laptop. It works fine for the most part, but these are the things I've had to deal with.","This is the HP Envy with an Intel i7-4700MQ CPU @ 2.40 GHz with 16.0 RAM. It runs decently, but for an i7 I might expect more when I'm playing games. It comes with an NVIDIA GeForce GT 740M, which is not all that great in my opinion. When I try to run taxing games, it doesn't help. It's also confusing that the laptop's own Intel integrated graphics becomes the default over the graphics card randomly. However, for regular activity, the laptop works fine for the most part.  The laptop aesthetically is pretty pleasing. It looks clean, smooth, black and silver. The keyboard works fine and types well. It's a little heavy in terms of portability, but for a 14.3\"" screen it's very reasonable. The battery lasts 5 hours of doing regular tasks without being charged in, which I think is quite good.  Here are some issues that I've run into with this laptop. The first and most important is audio. The sound for certain programs is kind of strange and I haven't found a way to fix the problem. When I use Skype and plug headphones or earphones into the laptop audio jack, there is a loud static sound over a call. Always. The sound on the laptop with plugged in audio is also REALLY loud. The maximum volume I can stand is 3 (out of 100). Much louder than the speaker is (if you hadn't plugged in audio). However, once I connected a monitor to the laptop (the monitor has an audio jack of its own) and plugged my headphones into the monitor, the sound works fine. The Skype problem disappears, and the sound levels are normal. This isn't too much of an issue for me, since I don't really move my laptop too much and it's usually connected to the monitor, but it is rather annoyed when I do have to take it somewhere.  The second issue is probably more of an issue with Windows than the laptop, but when updates are downloading the entire laptop slows down to a crawl. Not just internet-related activity (as you might expect when you're downloading a large update), but all functions like opening Microsoft Word, or switching windows, or anything like that. It's actually really annoying and makes my computer a slow brick when it's time for updates.  The last issue I had when purchasing this laptop is that I think there was a part inside that was loose. If I shook the laptop or moved it around a bit, the laptop would LAG for about 4 minutes. By lag, I mean 1 frame per second of all functions- moving the mouse, typing, sound lag, everything. There may be something wrong with the construction of the laptop. If I don't move it, nothing happens. I have since taken apart the laptop to clean the fan and put it back together, and the issue doesn't really happen anymore. I may have fixed the part inadvertently.  So these are the issues I've had with this laptop. It works fine for the most part, but these are the things I've had to deal with.",6,6,5.5,5.5,7,6.5,6,6.5
2,Yes,HP 15-ba018wm,5,I found the feed back to be useful but was a bit surprised that all of my text was highlighted. ,I recently recieve the HP 15-ba018wm laptop. You cannot beat the price! I have been using it for about a week and so far so good. It meets all my basic needs since I work online. I find the laptop to be no frills but that works just fine for me. I love that it has the 10 key on it. The keys feel a little bit harder then my previous laptop and the buttons below the touch pad are a little rough. It think that is just something that I have to get used to.  Overall I would definitly reccomend this laptop for someone who needs one for online work or data processing.,I recently recieve the HP 15-ba018wm laptop and have used it for about a week. The price was hard to beat! The laptop meets all of my basic needs since I work online. It is a very basic laptop but I love that it has the 10 key on it. The keys feel a little bit harder then my previous laptop and the buttons below the touch pad are a little rough. It think that is just something that I have to get used to.  Overall I would definitly reccomend this laptop for someone who needs one for online work or data processing.,2,2.5,5,2.5,2,2.5,4,2
1,Yes,Asus Chromebook C100P,6,It was a simple feedback text t hat was not too helpful but I appreciated it. ,"I Love my new Asus Chromebook. I thought I was just getting a well priced laptop but it turned out to be a flipbook that turns into a tablet. An 11 inch screen that is not only a flip book but touch screen! So that it is a totally functioning tablet. The resolution is 1280x800 while not incredibly hi-tech it is more than perfect for a screen this size, it is definitely a laptop ahead of it's game, perfect for school, and my netflix fix! Overall I would reccommend this device to anyone looking for something similar in a heartbeat. At only $250 the price is hard to beat!","I Love my new Asus Chromebook. I thought I was just getting a well priced laptop but it turned out to be a flipbook that turns into a tablet. An 11 inch screen that is not only a flip book but touch screen! So that it is a totally functioning tablet. The resolution is 1280x800 while not incredibly hi-tech it is more than perfect for a screen this size, it is definitely a laptop ahead of it's game, perfect for school, and my netflix fix! Overall I would reccommend this device to anyone looking for something similar in a heartbeat. At only $250 the price is hard to beat!",3,2,5,3,3,2,5,3
1,No,Asus F555,5,I did not see any segment specific feedback. The document level feedback just said that I did a good job.,"I love this laptop, I purchased it a few months ago and it runs nicely. I usually leave my computer running sites to earn a little extra income, and it is able to do that without consuming too much battery life when unplugged. I mainly use this laptop for work purposes, and I have not run into any issues using it at all. It runs smoothly even with all the various tasks I use it for. After getting used to Windows 10, I would not go back to a machine with an older OS. Wireless connectivity is flawless, and I have used both WiFi and Bluetooth extensively. Battery life is also very good, and I have been able to work for up to 4 hours without charging. The track pad is smooth to the touch and not a pain to use, so no complaints there. The pseakers leave a little to be desired when I feel like watching Youtube, but that can be remedied by wearing a pair of headphones. Other than that, I love this laptop!","I love this laptop, I purchased it a few months ago and it runs nicely. I usually leave my computer running sites to earn a little extra income, and it is able to do that without consuming too much battery life when unplugged. I mainly use this laptop for work purposes, and I have not run into any issues using it at all. It runs smoothly even with all the various tasks I use it for. After getting used to Windows 10, I would not go back to a machine with an older OS. Wireless connectivity is flawless, and I have used both WiFi and Bluetooth extensively. Battery life is also very good, and I have been able to work for up to 4 hours without charging. The track pad is smooth to the touch and not a pain to use, so no complaints there. The pseakers leave a little to be desired when I feel like watching Youtube, but that can be remedied by wearing a pair of headphones. Other than that, I love this laptop!",3.5,3.5,4.5,4,3.5,3.5,4.5,4
1,No,Dell Inspiron N4010,5,"It kept telling me to talk more about the laptop and put personal experience that I've had with it, which I did.",I have a Dell Inspiron N4010 with Windows 7 installed. It is a good size monitor at a whooping 14 inches. It has a large 500 GB hard drive and is up to date on any hardware and software. It has been a reliable laptop and will last another 5 years!,"I have a Dell Inspiron N4010 with Windows 7 installed. It is a good size monitor at a whooping 14 inches. It has a large 500 GB hard drive and is up to date on any hardware and software. It has been really good to me during my time at college. I finished a ton of essays and papers with this bad boy! It has been a reliable laptop and will last another 5 years! You can't pass up this deal, it's pretty much a steal. It has a webcam and mic built in and it is fast enough to play games, if you are a gamer. This laptop is totally upgradeable so you don't have to worry about buying another laptop. You can just buy a new hard drive, processor, and other items and bam, you have one of the best computers on the market.",2.5,1.5,4.5,2.5,3.5,2,4,3
4,Yes,Clevo W370SS,6,It pointed out areas I didn't address.,"I have a Clevo 370SS.  It comes with a i7 processor, 8GB RAM, a GTX 860M graphics card, a 17.3\"" screen, and a 500GB hard drive. The laptop is extremely fast for everyday tasks.  It also handles popular games like League of Legends, CSGO, and Overwatch with relative ease.  I have not tried playing graphically intensive games, but I suspect this laptop is not powerful enough.  I have had no major issues at all. ","I have a Clevo 370SS.  It comes with a i7 processor, 8GB RAM, a GTX 860M graphics card, a 17.3\"" screen, and a 500GB hard drive. The laptop is extremely fast for everyday tasks.  It also handles popular games like League of Legends, CSGO, and Overwatch with relative ease.  I have not tried playing graphically intensive games, but I suspect this laptop is not powerful enough",4.5,3.5,4.5,4,4.5,3.5,5.5,4
